"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15003-004-01-00-00_rsv",2026-04-04,"15003-004-01-00-00",419979.129109858,"241621.276595745, 598336.981623971",2.81638898539519,"2026-04-01, 2026-03-30",861,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"yes","rsv","1, 4.63277797079039","CDC_VERILY",15003,"Low"
"15003-004-01-00-00_rsv",2026-04-11,"15003-004-01-00-00",875777.240524888,"564269.11841896, 1187285.36263082",9.47683079885126,"2026-04-08, 2026-04-06",868,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","4.19561216248394, 14.7580494352186","CDC_VERILY",15003,"High"
"15003-004-01-00-00_rsv",2026-04-18,"15003-004-01-00-00",241621.276595745,"241621.276595745, 241621.276595745",1,"2026-04-15, 2026-04-13",875,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-02-17,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-02-14, 2024-02-12",84,12.1769053324362,12.1769053324362,0.831224929776677,NA,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-02-24,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-02-21, 2024-02-20",92,12.1769053324362,12.1769053324362,0.831224929776677,0,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-03-02,"15003-005-01-00-00",341716.44884968,"489182.108225676, 194250.789473684",2.01886866774502,"2024-02-28, 2024-02-26",98,12.1769053324362,12.1769053324362,0.831224929776677,0,"no","rsv","3.03773733549003, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-03-09,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-03-06, 2024-03-04",105,12.1769053324362,12.1769053324362,0.831224929776677,0.349082233198034,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-03-16,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-03-13, 2024-03-11",112,12.1769053324362,12.1769053324362,0.831224929776677,0.307861592051018,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-03-23,"15003-005-01-00-00",358530.937876832,"194250.789473684, 522811.08627998",2.14534577134582,"2024-03-20, 2024-03-18",119,12.1769053324362,12.1769053324362,0.831224929776677,0.387341166010058,"yes","rsv","1, 3.29069154269165","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-03-30,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-03-27, 2024-03-25",126,12.1769053324362,12.1769053324362,0.831224929776677,0.359577254404424,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-04-06,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-04-03, 2024-04-02",134,12.1769053324362,12.1769053324362,0.831224929776677,0.33690920432001,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-04-13,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-04-10, 2024-04-08",140,12.1769053324362,12.1769053324362,0.831224929776677,0.317985015874686,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
